# PRODUCT_URL | IMAGE_URL  — hotlink miniatur ze sklepow, klucz dopasowania = product_url
# Zebrane przez agentow (2026-07-05). Artiser + brakujace Wanczykowka dopisane osobno.

# ── GAP POLAND (25 zescrapowanych; w bazie 19 — nadmiar to zestawy/kiszonki, nie dopasuja sie) ──
https://sklep.gappoland.com/pl/p/Brevibacterium-linens-/22901952 | https://sklep.gappoland.com/environment/cache/images/productGfx_1548_500_500/Brevibacterium-linens---bakterie-czerwonej-mazi.jpg
https://sklep.gappoland.com/pl/p/EF-LYO-/22901956 | https://sklep.gappoland.com/environment/cache/images/productGfx_1553_500_500/EF-LYO-bakteryjna-kultura-aromatyzujaca.jpg
https://sklep.gappoland.com/pl/p/HL-06-LYO-/22901954 | https://sklep.gappoland.com/environment/cache/images/productGfx_1551_500_500/HL-LYO-starterowa-kultura-bakteryjna-do-serow-poltwardych-dojrzewajacych.jpg
https://sklep.gappoland.com/pl/p/Kefir-41-LYO-/22901896 | https://sklep.gappoland.com/environment/cache/images/productGfx_2408_500_500/2c.jpg
https://sklep.gappoland.com/pl/p/Kefir-41-LYO-na-1-3-l/22902328 | https://sklep.gappoland.com/environment/cache/images/productGfx_2406_500_500/2c.jpg
https://sklep.gappoland.com/pl/p/Kefir-41-LYO-na-10-l/22902306 | https://sklep.gappoland.com/environment/cache/images/productGfx_2410_500_500/2c.jpg
https://sklep.gappoland.com/pl/p/Kultury-do-kiszenia-warzyw-i-owocow-na-10-kg-wsadu/22902305 | https://sklep.gappoland.com/environment/cache/images/productGfx_2323_500_500/1.jpg
https://sklep.gappoland.com/pl/p/Kultury-do-kiszenia-warzyw-i-owocow-zestaw-2-1-GRATIS/22902321 | https://sklep.gappoland.com/environment/cache/images/productGfx_2361_500_500/222.jpg
https://sklep.gappoland.com/pl/p/MP-62-LYO-/22901958 | https://sklep.gappoland.com/environment/cache/images/productGfx_1555_500_500/MP-62-LYO-starterowa-kultura-bakteryjna-do-serow-z-masy-parzonej%2C-do-oscypkow.jpg
https://sklep.gappoland.com/pl/p/Natural-Yogurt-zestaw-2-1-GRATIS/22902320 | https://sklep.gappoland.com/environment/cache/images/productGfx_2358_500_500/111.jpg
https://sklep.gappoland.com/pl/p/Natural-Yogurt/22902098 | https://sklep.gappoland.com/environment/cache/images/productGfx_94e4b1227454cf0e468d7bafb4591b6b_500_500.jpg
https://sklep.gappoland.com/pl/p/PB-LYO-/22901957 | https://sklep.gappoland.com/environment/cache/images/productGfx_1554_500_500/PB-LYO-starterowa-kultura-bakteryjna-do-serow-dojrzewajacych-szwajcarskich.jpg
https://sklep.gappoland.com/pl/p/PBat-91-LYO-/22901953 | https://sklep.gappoland.com/environment/cache/images/productGfx_1550_500_500/PBat-91-LYO-kultura-bakteryjna-do-zakwasu-roboczego.jpg
https://sklep.gappoland.com/pl/p/Penicilium-roqueforti-/22901951 | https://sklep.gappoland.com/environment/cache/images/productGfx_1547_500_500/Penicilium-roqueforti-starterowa-kultura-plesniowa-do-serow.jpg
https://sklep.gappoland.com/pl/p/Penicillium-candidum-/22901950 | https://sklep.gappoland.com/environment/cache/images/productGfx_1546_500_500/Penicillium-candidum-starterowa-kultura-plesniowa-do-serow-BIALA-PLESN.jpg
https://sklep.gappoland.com/pl/p/Protective-LYO-/22901943 | https://sklep.gappoland.com/environment/cache/images/productGfx_716f97aa80c0a995b29a0db4ac8d6b1a_500_500.jpg
https://sklep.gappoland.com/pl/p/SH-LYO-/22901955 | https://sklep.gappoland.com/environment/cache/images/productGfx_1552_500_500/SH-LYO-starterowa-kultura-bakteryjna-do-serow-poltwardych-nieregularne-oczka.jpg
https://sklep.gappoland.com/pl/p/SM-02-LYO/22902158 | https://sklep.gappoland.com/environment/cache/images/productGfx_1874_500_500/SM-02-LYO---starterowa-kultura-bakteryjna-do-maslanki.jpg
https://sklep.gappoland.com/pl/p/SR-62-LYO-/22902182 | https://sklep.gappoland.com/environment/cache/images/productGfx_1962_500_500/SR-62-LYO----starterowa-kultura-bakteryjna.jpg
https://sklep.gappoland.com/pl/p/TW-31-LYO-/22901901 | https://sklep.gappoland.com/environment/cache/images/productGfx_1523_500_500/TW-31-LYO-starterowa-kultura-bakteryjna-do-serow-swiezych-i-miekkich-GAP-food-additives.jpg
https://sklep.gappoland.com/pl/p/VEGE-C-LYO/22902224 | https://sklep.gappoland.com/environment/cache/images/productGfx_2164_500_500/Vege-C.jpg
https://sklep.gappoland.com/pl/p/Y-92-LYO-/22901945 | https://sklep.gappoland.com/environment/cache/images/productGfx_1543_500_500/Y-92-LYO-starterowa-kultura-bakteryjna-do-serow-twardych-dojrzewajacych.jpg
https://sklep.gappoland.com/pl/p/YO-56-LYO-/22901897 | https://sklep.gappoland.com/environment/cache/images/productGfx_1522_500_500/YO-56-LYO-starterowa-kultura-bakteryjna-do-jogurtu.jpg
https://sklep.gappoland.com/pl/p/YO-B1-LYO-/22902117 | https://sklep.gappoland.com/environment/cache/images/productGfx_1762_500_500/YO-B1-LYO-starterowa-kultura-bakteryjna-jogurt-probiotyczna.jpg
https://sklep.gappoland.com/pl/p/YPB-LYO-/22901949 | https://sklep.gappoland.com/environment/cache/images/productGfx_1545_500_500/YPB-LYO-do-serow-z-oczkami-twardych-i-dojrzewajacych.jpg

# ── SEROWAR (36) ──
https://serowar.pl/pl/p/AT-kultura-starterowa-bakterie/28 | https://serowar.pl/environment/cache/images/productGfx_5091_500_500/AT---kultura-starterowa-bakterie-10g.webp
https://serowar.pl/pl/p/Brevibacterium-Linens-bakterie-czerwonej-mazi/341 | https://serowar.pl/environment/cache/images/productGfx_5090_500_500/Brevibacterium-Linens---bakterie-czerwonej-mazi-10g.webp
https://serowar.pl/pl/p/CL-kultura-startowa-uzupelniajaca-do-sera-na-1000-l-mleka/2259 | https://serowar.pl/environment/cache/images/productGfx_6603_500_500/CL---kultura-startowa-uzupelniajaca-do-sera-na-1000-l-mleka.webp
https://serowar.pl/pl/p/EM-kultura-starterowa-bakterie/23 | https://serowar.pl/environment/cache/images/productGfx_5089_500_500/EM---kultura-starterowa-10g.webp
https://serowar.pl/pl/p/LHT-kultura-startowa-do-sera-na-1000-l-mleka-/1746 | https://serowar.pl/environment/cache/images/productGfx_5287_500_500/LHT---kultura-startowa-do-sera-na-1000-l-mleka.webp
https://serowar.pl/pl/p/LHTB-kultura-startowa-do-sera-na-1000-l-mleka/1747 | https://serowar.pl/environment/cache/images/productGfx_5293_500_500/LHTB---kultura-startowa-do-sera-na-1000-l-mleka.webp
https://serowar.pl/pl/p/LHTBME-kultura-startowa-do-sera-na-1000-l-mleka/1748 | https://serowar.pl/environment/cache/images/productGfx_5295_500_500/LHTBME---kultura-startowa-do-sera-na-1000-l-mleka.webp
https://serowar.pl/pl/p/M-kultura-starterowa-bakterie/114 | https://serowar.pl/environment/cache/images/productGfx_5083_500_500/M---kultura-starterowa-bakterie-10g.webp
https://serowar.pl/pl/p/MA-kultura-startowa-do-masla-i-sera-na-1000-l-mleka/1750 | https://serowar.pl/environment/cache/images/productGfx_5290_500_500/MA---kultura-startowa-do-masla-i-sera-na-1000-l-mleka.webp
https://serowar.pl/pl/p/ME-kultura-startowa-do-sera-na-1000-l-mleka/1751 | https://serowar.pl/environment/cache/images/productGfx_5291_500_500/ME---kultura-startowa-do-sera-na-1000-l-mleka.webp
https://serowar.pl/pl/p/MFC-kultura-starterowa-bakterie/22 | https://serowar.pl/environment/cache/images/productGfx_5082_500_500/MFC---kultura-starterowa-bakterie-10g.webp
https://serowar.pl/pl/p/MO-kultura-startowa-do-masla%2C-sera-na-1000-l-mleka/1752 | https://serowar.pl/environment/cache/images/productGfx_5286_500_500/MO---kultura-startowa-do-masla%2C-sera-na-1000-l-mleka.webp
https://serowar.pl/pl/p/MSE-kultura-starterowa-bakterie/20 | https://serowar.pl/environment/cache/images/productGfx_5081_500_500/MSE---kultura-starterowa-bakterie-10g.webp
https://serowar.pl/pl/p/MSE-910-kultura-starterowa-bakterie/1921 | https://serowar.pl/environment/cache/images/productGfx_5237_500_500/MSE-910---kultura-starterowa-bakterie.webp
https://serowar.pl/pl/p/MSO-kultura-starterowa-bakterie/18 | https://serowar.pl/environment/cache/images/productGfx_5080_500_500/MSO---kultura-starterowa-bakterie-10g.webp
https://serowar.pl/pl/p/MSO-11-kultura-starterowa-bakterie/21 | https://serowar.pl/environment/cache/images/productGfx_5079_500_500/MSO-11---kultura-starterowa-bakterie-10g.webp
https://serowar.pl/pl/p/MST-kultura-starterowa-bakterie/24 | https://serowar.pl/environment/cache/images/productGfx_5078_500_500/MST---kultura-starterowa-bakterie-10g.webp
https://serowar.pl/pl/p/MSY-kultura-starterowa-bakterie/25 | https://serowar.pl/environment/cache/images/productGfx_5077_500_500/MSY---kultura-starterowa-bakterie-10g.webp
https://serowar.pl/pl/p/MYE-kultura-starterowa-bakterie/355 | https://serowar.pl/environment/cache/images/productGfx_5076_500_500/MYE---kultura-starterowa-bakterie-10g.webp
